Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-09-05 10:15:00,2024-09-05 10:15:00,Tesco,-45.20,0.00,GBP,COMPLETED,954.80
CARD_PAYMENT,Current,2024-09-10 14:22:00,2024-09-10 14:22:00,Netflix,-9.99,0.00,GBP,COMPLETED,944.81
CARD_PAYMENT,Current,2024-09-18 09:05:00,2024-09-18 09:05:00,Sainsburys,-32.50,0.00,GBP,COMPLETED,912.31
TOPUP,Current,2024-09-28 08:00:00,2024-09-28 08:00:00,Salary,2500.00,0.00,GBP,COMPLETED,3412.31
TRANSFER,Current,2024-09-29 19:30:00,2024-09-29 19:30:00,Transfer to friend,-25.00,0.00,GBP,COMPLETED,3387.31
CARD_PAYMENT,Current,2024-10-03 12:00:00,2024-10-03 12:00:00,Tesco,-52.10,0.00,GBP,COMPLETED,3335.21
CARD_PAYMENT,Current,2024-10-09 17:45:00,2024-10-09 17:45:00,Amazon,-64.99,0.00,GBP,COMPLETED,3270.22
CARD_PAYMENT,Current,2024-10-15 08:30:00,2024-10-15 08:30:00,Spotify,-10.99,0.00,GBP,COMPLETED,3259.23
TOPUP,Current,2024-10-28 08:00:00,2024-10-28 08:00:00,Salary,2500.00,0.00,GBP,COMPLETED,5759.23
CARD_PAYMENT,Current,2024-11-04 11:10:00,2024-11-04 11:10:00,Tesco,-38.75,0.00,GBP,COMPLETED,5720.48
CARD_PAYMENT,Current,2024-11-12 13:20:00,2024-11-12 13:20:00,Costa Coffee,-4.50,0.00,GBP,COMPLETED,5715.98
TRANSFER,Current,2024-11-16 15:00:00,2024-11-16 15:00:00,Transfer to friend,-15.00,0.00,GBP,COMPLETED,5700.98
CARD_PAYMENT,Current,2024-11-22 09:40:00,2024-11-22 09:40:00,Gym Membership,-29.99,0.00,GBP,COMPLETED,5670.99
TOPUP,Current,2024-11-28 08:00:00,2024-11-28 08:00:00,Salary,2500.00,0.00,GBP,COMPLETED,8170.99
CARD_PAYMENT,Current,2024-12-05 10:00:00,2024-12-05 10:00:00,Tesco,-41.30,0.00,GBP,COMPLETED,8129.69
